№ п/п,"№
документа","Дата
регистрации","Исх. №
Дата",Адресат,Автор,"Краткое
содержание",Примечание
1411,WSR/1-2773/2018,08.11.2018,"653/6-03
07.11.2018",Глушко Д.Е.,Белоусов И.К. (Администрация Губкинского городского округа),Вх - Об участии в семинаре в рамках Деловой программы финала II Национального межвузовского чемпионата «Молодые профессионалы (Ворлдскиллс Россия)»,
1412,WSR/1-2774/2018,08.11.2018,"1502
08.11.2018",Тымчиков А.Ю.,"Ребров Ю.В. (КГБПОУ ""Красноярский строительный техникум"")","Вх - О присвоении статуса СЦК ""Сухое строительство и штукатурные работы""",
1413,WSR/1-2772/2018,08.11.2018,"2342
06.11.2018",Глушко Д.Е.,Иванов В.В. (Администрация Наволокского городского поселения Кинешемского муниципального района),Вх - Об участии в семинаре в рамках Деловой программы финала II Национального межвузовского чемпионата «Молодые профессионалы (Ворлдскиллс Россия)»,
1414,WSR/1-2771/2018,08.11.2018,"2.4-15/1034
07.11.2018",Уразов Р.Н.,Карелова Г.Н. (Совет Федерации Федерального собрания Российской Федерации),Вх - О вхождении в состав Организационного комитета третьего форума социальных инновационных регионов. 20 - 21 июня 2019 года,
1415,WSR/1-2769/2018,07.11.2018,"их.24-6755/18
07.11.2018",Глушко Д.Е.,Лобода И.В. (Департамент образования Ярославской области),Вх - Об участии в семинаре в рамках Деловой программы финала II Национального межвузовского чемпионата «Молодые профессионалы (Ворлдскиллс Россия)» (шаблон письма),
1416,WSR/1.9-2770/2018,07.11.2018,"9976
01.11.2018",Саликова К.В.,Пилипенко О.В. (Орловский государственный университет имени И.С. Тургенева),"Вх - О компетенции блока FutureSkills ""Биофотоника""",
1417,WSR/1.13-2768/2018,07.11.2018,"3932-65
31.10.2018","Митяева И.В.
Никул Е.В.","Бондарева А.Н. (ОАО ""Энергопром-НЭЗ"")",Вх - О направлении акта сверки,
1418,WSR/1.6-2767/2018,07.11.2018,"781
28.10.2018",Крайчинская С.Б.,"Харлов М.А. (ГБПОУ ""Шадринский политехнический колледж"")",Вх - О задолженности по договору 26/08/2018 от 23 марта 2018 года,
1419,WSR/1-2766/2018,07.11.2018,"11925
07.11.2018","Глушко Д.Е.
Никул Е.В.","Шепелева Л.Ю. (ПАО ""Объединенная авиастроительная корпорация"")",Вх - О корпоративных модулях в заданиях демэкзамена,
1420,WSR/1-2765/2018,07.11.2018,"06-01-35/1087
02.11.2018",Лысова С.И.,Бавыкин В.С. (ФГБОУВО Амурский гуманитарно-педагогический государственный университет),Вх - Об участии в финале II Национального межвузовского чемпионата «Молодые профессионалы (Ворлдскиллс Россия)»,
1421,WSR/1-2764/2018,07.11.2018,"2426
07.11.2018",Лысова С.И.,"Клинская О.Е. (ФГБОУВО ""ПГУ им-Шолом-Алейхема"")",Вх - Об участии в финале II Национального межвузовского чемпионата «Молодые профессионалы (Ворлдскиллс Россия)»,
1422,WSR/1-2763/2018,07.11.2018,"42-01-4577/05а
07.11.2018",Лысова С.И.,"Кадакин В.В. (ГОУ ВПО ""Мордовский государственный педагогический институт им. М.Е. Евсевьева"")",Вх - Об участии в финале II Национального межвузовского чемпионата «Молодые профессионалы (Ворлдскиллс Россия)»,
1423,WSR/1-2762/2018,07.11.2018,"12-27-1304
07.11.2018",Лысова С.И.,Месхи Б.Ч. (Донской государственный технический университет),Вх - О рассмотрении возможности отмены уплаты ежегодного взноса,
1424,WSR/1-2761/2018,07.11.2018,"5061/01-03-18
07.11.2018",Глушко Д.Е.,Аникеев А.С. (Министерство образования и науки Калужской области),Вх - Об участии в семинаре в рамках Деловой программы финала II Национального межвузовского чемпионата «Молодые профессионалы (Ворлдскиллс Россия)» (шаблон письма),
1425,WSR/1-2760/2018,07.11.2018,"11326-10/25
07.11.2018",Глушко Д.Е.,Федорчук С.В. (Министерство образования Новосибирской области),Вх - О встрече по итогам ФНЧ 2018,
1426,WSR/1-2759/2018,07.11.2018,"ТГ-П8-7561
02.11.2018",Уразов Р.Н.,Голикова Т.А. (Аппарат Правительства Российской Федерации),Вх - О заключении дополнительного соглашения для оплаты взноса в WorldSkills Europe за право проведения чемпионаты Европы 2022,
1427,WSR/1-2890/2018,14.11.2018,"15/11/18
07.11.2018",Уразов Р.Н.,"Губайдуллин Э.Ф. (Автономная некоммерческая организация ""Центр развития профессиональных компетенций"")","Приглашение на Региональный чемпионат ""Молодые профессионалы"" (WorldSkills Russia) Республики Татарстан 2018/2019 чемпионатного цикла",
1428,WSR/1-2758/2018,06.11.2018,"592
06.11.2018
592
06.11.2018",Тымчиков А.Ю.,"Нерубенко С.М. (ГАОУ СПО МО «Профессиональный колледж «Московия»)
Касымов Р.А. (Компетенция ""Управление на железнодорожном транспорте"")",Вх - О соответствии технической базы инфраструктурному листу и обеспечении оборудования на площадке,
1429,WSR/1-2757/2018,06.11.2018,"7069/05
06.11.2018",Лысова С.И.,"Нечаев В.Д. (ФГАОУ ВО ""Севастопольский государственный университет"")",Вх - Об участии в финале II Национального межвузовского чемпионата «Молодые профессионалы (Ворлдскиллс Россия)»,
1430,WSR/1-2756/2018,06.11.2018,"2764
06.11.2018",Глушко Д.Е.,Печенко Р.Н. (Администрация Погарского района Брянской области),"Вх - Об участии в чемнаре ""Инструменты развития Движения Ворлдскиллс в моногородах""",
1431,WSR/1-2755/2018,06.11.2018,"НСПК-95/01
02.11.2018",Уразов Р.Н.,Шохин А. (Национальный совет при Президенте РФ по профессиональным квалификациям),"Вх - Об участии в форуме ""Национальная система квалификаций России"" 6 декабря 2018г.",
1432,WSR/1-2753/2018,06.11.2018,"1775
01.11.2018",Глушко Д.Е.,Корхов И.А. (АНО «Корпоративная Академия Госкорпорации «Росатом»),"Вх - Об экспертном участии в проектной инженерной смене Юниоры ""AtomSkills""",
1433,WSR/1-2752/2018,06.11.2018,"ИП-209/05
02.11.2018",Уразов Р.Н.,Потехина И.П. (Министерство образования и науки Российской Федерации),"Вх - О рассмотрении проектов документов о субсидировании проекта ""Билет в будущее""",
1434,WSR/1-2754/2018,06.11.2018,"636-5
02.11.2018",Уразов Р.Н.,"Ермошкина Е.М. (ООО СП ""СОДРУЖЕСТВО"")",Вх - Об участии в III Всероссийском форуме федерльных учебно-методических объединений в системе СПО,
1435,WSR/1-2751/2018,06.11.2018,"80-11/10312
06.11.2018",Глушко Д.Е.,"Иванова Г.П. (Департамент образования, науки и молодежной политики Воронежской области)",Вх - Об участии в семинаре в рамках Деловой программы финала II Национального межвузовского чемпионата «Молодые профессионалы (Ворлдскиллс Россия)» (шаблон письма),
1436,WSR/1-2750/2018,06.11.2018,"01-51/02-2814/18
06.11.2018",Уразов Р.Н.,Смирницкая М.В. (Департамент образования города Москвы),Вх - Благодарственное письмо на глав субъектов за EuroSkills 2018 (шаблон),
1437,WSR/1-2749/2018,06.11.2018,"ИП-211/05
06.11.2018",Уразов Р.Н.,Потехина И.П. (Министерство образования и науки Российской Федерации),"Вх- о преставлении предложений по п.2 Перечня поручений по итогам совещания Путина В. с членамиПравительсва РФ 02.10.2018,утвержденного 01.11.2018 Пр-2021 - о награждении государственными премией победителей ES2018 в Будапеште.",
